"","PercentImperv_MaxDist","NLCD_NA_Per_MaxDist","WaterPer_MaxDist","IceSnowPer_MaxDist","DevOpenPer_MaxDist","DevLowPer_MaxDist","DevMedPer_MaxDist","DevHighPer_MaxDist","BarrenPer_MaxDist","DeciduousPer_MaxDist","EvergreenPer_MaxDist","MixedForPer_MaxDist","ShrubPer_MaxDist","GrassPer_MaxDist","PasturePer_MaxDist","CropsPer_MaxDist","WoodyWetPer_MaxDist","HerbWetPer_MaxDist","log1p(Data.play[, 158])"
"PercentImperv_MaxDist",1,-0.003,-0.009,-0.029,0.614,0.922,0.875,0.703,-0.026,-0.086,-0.186,-0.12,-0.098,-0.171,0.035,0.03,0.018,0.031,0.121
"NLCD_NA_Per_MaxDist",-0.003,1,0.014,-0.002,-0.022,-0.005,0.014,0.02,0.013,-0.015,0,-0.003,0.082,-0.032,0.011,-0.002,-0.012,-0.017,-0.036
"WaterPer_MaxDist",-0.009,0.014,1,-0.03,-0.025,-0.025,0.018,0.014,-0.07,-0.032,-0.217,-0.056,-0.279,0.033,-0.059,0.047,-0.065,0.025,0.145
"IceSnowPer_MaxDist",-0.029,-0.002,-0.03,1,-0.036,-0.022,-0.015,-0.011,0.035,-0.023,0.073,-0.002,0.027,-0.018,-0.021,-0.019,-0.026,-0.023,-0.049
"DevOpenPer_MaxDist",0.614,-0.022,-0.025,-0.036,1,0.577,0.396,0.275,-0.12,0.113,-0.212,0.01,-0.235,-0.182,0.143,0.145,0.038,-0.042,0.148
"DevLowPer_MaxDist",0.922,-0.005,-0.025,-0.022,0.577,1,0.758,0.552,-0.015,-0.035,-0.18,-0.081,-0.137,-0.194,0.073,0.055,0.061,0.025,0.124
"DevMedPer_MaxDist",0.875,0.014,0.018,-0.015,0.396,0.758,1,0.766,0,-0.064,-0.154,-0.097,-0.101,-0.155,0.013,0.005,0.007,0.009,0.098
"DevHighPer_MaxDist",0.703,0.02,0.014,-0.011,0.275,0.552,0.766,1,0.004,-0.052,-0.103,-0.04,-0.094,-0.108,0.008,0.008,0.03,0.038,0.104
"BarrenPer_MaxDist",-0.026,0.013,-0.07,0.035,-0.12,-0.015,0,0.004,1,-0.141,0.134,-0.073,0.13,0.011,-0.037,-0.074,-0.054,-0.005,-0.144
"DeciduousPer_MaxDist",-0.086,-0.015,-0.032,-0.023,0.113,-0.035,-0.064,-0.052,-0.141,1,-0.147,0.25,-0.367,-0.295,0.114,-0.128,-0.033,-0.189,-0.064
"EvergreenPer_MaxDist",-0.186,0,-0.217,0.073,-0.212,-0.18,-0.154,-0.103,0.134,-0.147,1,0.201,0.089,-0.283,-0.222,-0.35,-0.024,-0.201,-0.39
"MixedForPer_MaxDist",-0.12,-0.003,-0.056,-0.002,0.01,-0.081,-0.097,-0.04,-0.073,0.25,0.201,1,-0.139,-0.315,-0.112,-0.197,0.256,-0.118,-0.186
"ShrubPer_MaxDist",-0.098,0.082,-0.279,0.027,-0.235,-0.137,-0.101,-0.094,0.13,-0.367,0.089,-0.139,1,-0.058,-0.14,-0.212,-0.153,-0.07,-0.187
"GrassPer_MaxDist",-0.171,-0.032,0.033,-0.018,-0.182,-0.194,-0.155,-0.108,0.011,-0.295,-0.283,-0.315,-0.058,1,-0.111,0.045,-0.287,0.064,0.153
"PasturePer_MaxDist",0.035,0.011,-0.059,-0.021,0.143,0.073,0.013,0.008,-0.037,0.114,-0.222,-0.112,-0.14,-0.111,1,0.23,-0.097,0.046,0.196
"CropsPer_MaxDist",0.03,-0.002,0.047,-0.019,0.145,0.055,0.005,0.008,-0.074,-0.128,-0.35,-0.197,-0.212,0.045,0.23,1,-0.016,0.227,0.345
"WoodyWetPer_MaxDist",0.018,-0.012,-0.065,-0.026,0.038,0.061,0.007,0.03,-0.054,-0.033,-0.024,0.256,-0.153,-0.287,-0.097,-0.016,1,0.149,0.051
"HerbWetPer_MaxDist",0.031,-0.017,0.025,-0.023,-0.042,0.025,0.009,0.038,-0.005,-0.189,-0.201,-0.118,-0.07,0.064,0.046,0.227,0.149,1,0.203
"log1p(Data.play[, 158])",0.121,-0.036,0.145,-0.049,0.148,0.124,0.098,0.104,-0.144,-0.064,-0.39,-0.186,-0.187,0.153,0.196,0.345,0.051,0.203,1
